名称,路径,位置X,位置Y,位置Z,大小X,大小Y,大小Z,合并,文义,文义（英）
bush02 (56),nature/Trees/bush02 (56),94.8,-2.268286,-15.7,6.489142,4.211606,5.629262,,,
bush02 (26),nature/Trees/bush02 (26),103.2,-3.438288,-30.1,10.09959,6.555621,8.756152,,,
tree02 (65),nature/Trees/tree02 (65),-41.9,-0.3682861,20.7,54.61602,38.58755,51.99214,,,
bush02 (35),nature/Trees/bush02 (35),79.5,-1.528288,-45.4,4.451638,3.331188,2.947242,,,
tree02 (63),nature/Trees/tree02 (63),24,-0.4282875,-70,43.13377,45.92503,48.60344,,,
bush02 (96),nature/Trees/bush02 (96),65.88,-1.789488,-121.2,3.132984,2.285094,3.532508,,,
bush02 (68),nature/Trees/bush02 (68),69,-1.528288,-75.9,5.132615,3.331188,4.452489,,,
bush02 (89),nature/Trees/bush02 (89),38.73,-1.789488,-66.21,3.384161,2.285094,3.50279,,,
bush02 (141),nature/Trees/bush02 (141),48.59,-2.338287,-27.88,4.296856,3.294673,2.745934,,,
tree02 (69),nature/Trees/tree02 (69),26.45,-0.3682861,-103.15,54.61602,38.58755,51.99214,,,
bush02 (18),nature/Trees/bush02 (18),63.5,-1.528288,-55.7,5.132025,3.331188,4.449369,,,
tree02 (52),nature/Trees/tree02 (52),132.7,-1.668287,-7,47.12428,26.75298,44.56981,,,
bush02 (13),nature/Trees/bush02 (13),80.8,-2.268286,-21.6,6.488397,4.211606,5.625319,,,
bush02 (1),nature/Trees/bush02 (1),63.2,-2.168287,-34.1,4.344479,3.331188,2.776367,,,
tree02 (71),nature/Trees/tree02 (71),9.7,-0.738287,-60.7,45.71028,39.04447,44.84314,,,
bush02 (22),nature/Trees/bush02 (22),79.2,-1.528288,-57.3,5.071059,3.331188,4.993116,,,
bush02 (6),nature/Trees/bush02 (6),62.1,-2.268288,-30.2,5.011,4.211606,6.298706,,,
tree02 (56),nature/Trees/tree02 (56),169.9,16.82171,152.9,43.13377,30.05953,48.60344,,,
bush02 (73),nature/Trees/bush02 (73),68.3,-2.268286,-100.2,6.312241,4.211606,5.044979,,,
bush02 (106),nature/Trees/bush02 (106),35.7,-1.528288,-119.4,4.992695,3.331188,3.990348,,,
bush02 (81),nature/Trees/bush02 (81),49.13797,-2.268288,-19.02032,4.074944,3.331188,5.024848,,,
tree02 (67),nature/Trees/tree02 (67),5.99,-0.738287,-109.66,45.71028,39.04447,44.84314,,,
bush02 (12),nature/Trees/bush02 (12),89.94,-3.708286,6.23,16.3515,9.508683,16.26581,,,
tree02 (62),nature/Trees/tree02 (62),-29,-0.4282875,-77.9,43.13377,45.92503,48.60344,,,
tree02 (61),nature/Trees/tree02 (61),14.17207,-3.858288,-43.47943,43.94568,39.04447,40.61398,,,
bush02 (60),nature/Trees/bush02 (60),57.3,-2.658287,-77.10001,4.10667,4.146969,5.798831,,,
tree02 (58),nature/Trees/tree02 (58),52.137,2.581713,47.939,54.74529,38.15149,61.68739,,,
bush02 (7),nature/Trees/bush02 (7),80.495,-6.355486,-49.7658,15.63781,13.14315,19.65634,,,
bush02 (36),nature/Trees/bush02 (36),79.7,-1.528288,-35.8,3.963471,3.331188,4.981987,,,
tree02 (59),nature/Trees/tree02 (59),57.47089,-0.5582867,-69.05779,68.20422,38.15149,67.3031,,,
bush02,nature/Trees/bush02,67.346,-4.900187,-43.233,13.95419,10.69957,8.917521,,,
bush02 (124),nature/Trees/bush02 (124),52.46,-2.638287,16.97,9.819884,6.568937,7.804994,,,
bush02 (134),nature/Trees/bush02 (134),57.659,-1.728287,34.45229,5.042139,3.331188,5.028056,,,
bush02 (88),nature/Trees/bush02 (88),50.51,-1.789488,-64.07,3.384161,2.285094,3.50279,,,
bush02 (125),nature/Trees/bush02 (125),68.92463,-3.708286,11.66071,7.751711,8.559405,15.3227,,,
tree02 (47),nature/Trees/tree02 (47),110,-0.738287,15,45.71028,39.04447,44.84314,,,
bush02 (116),nature/Trees/bush02 (116),44.8,-2.268286,-97,6.489142,4.211606,5.629262,,,
bush02 (109),nature/Trees/bush02 (109),40.8,-2.268286,-117.2,6.312241,4.211606,5.044979,,,
tree02 (53),nature/Trees/tree02 (53),108.231,2.774813,80.91,41.51933,26.67897,44.72684,,,
tree02 (51),nature/Trees/tree02 (51),116.9076,0.841713,-26.73457,52.94862,30.05953,50.07844,,,
bush02 (97),nature/Trees/bush02 (97),38.3,-1.789488,-138.2,3.132984,2.285094,3.532508,,,
bush02 (10),nature/Trees/bush02 (10),75.6,-1.528288,-46.7,3.963471,3.331188,4.981987,,,
bush02 (103),nature/Trees/bush02 (103),54.5,-1.528288,-120.4,4.792758,3.331188,5.147766,,,
bush02 (121),nature/Trees/bush02 (121),62.3,-1.528288,-130.9,5.132615,3.331188,4.452489,,,
bush02 (14),nature/Trees/bush02 (14),76.8,-2.268286,-18,6.488397,4.211606,5.625319,,,
bush02 (25),nature/Trees/bush02 (25),99.2,-3.438288,-26.5,10.09959,6.555621,8.756152,,,
bush02 (38),nature/Trees/bush02 (38),85.6,-2.168287,-42.6,4.344479,3.331188,2.776367,,,
bush02 (75),nature/Trees/bush02 (75),70.8,-1.528288,-108.1,4.864669,3.331188,5.132187,,,
bush02 (102),nature/Trees/bush02 (102),23,-1.789488,-81.10001,3.384161,2.285094,3.50279,,,
bush02 (41),nature/Trees/bush02 (41),73.9,-4.348288,0.7000008,14.5819,8.559405,16.37172,,,
bush02 (66),nature/Trees/bush02 (66),72.3,-2.268286,-80,10.10075,6.555621,8.762291,,,
bush02 (120),nature/Trees/bush02 (120),52.8,-1.528288,-132.3,3.298817,3.331188,4.6581,,,
bush02 (132),nature/Trees/bush02 (132),62.90561,-1.528288,43.91133,5.081034,3.331188,4.978618,,,
bush02 (118),nature/Trees/bush02 (118),60.2,-2.268286,-136.1,6.489142,4.211606,5.629262,,,
bush02 (131),nature/Trees/bush02 (131),68.01152,-2.268286,32.09736,6.494914,4.211606,5.66135,,,
bush02 (117),nature/Trees/bush02 (117),39.5,-2.268286,-98.10001,6.489142,4.211606,5.629262,,,
bush02 (2),nature/Trees/bush02 (2),67.5,-1.728287,-33.8,6.76245,5.185197,4.321584,,,
bush02 (8),nature/Trees/bush02 (8),80.1,-2.268288,-44.2,5.011,4.211606,6.298706,,,
bush02 (129),nature/Trees/bush02 (129),37.34361,-2.268286,36.66254,6.494914,4.211606,5.66135,,,
bush02 (99),nature/Trees/bush02 (99),16.8,-1.789488,-110.6,3.132984,2.285094,3.532508,,,
bush02 (11),nature/Trees/bush02 (11),82.2,-1.528288,-16.6,5.132025,3.331188,4.449369,,,
bush02 (74),nature/Trees/bush02 (74),63.8,-2.268286,-97.3,6.312241,4.211606,5.044979,,,
bush02 (34),nature/Trees/bush02 (34),84.2,-2.268288,-33.3,5.011,4.211606,6.298706,,,
bush02 (27),nature/Trees/bush02 (27),97.9,-1.528288,-18.2,5.071059,3.331188,4.993116,,,
bush02 (33),nature/Trees/bush02 (33),84.5,-2.268288,-38.7,5.011,4.211606,6.298706,,,
bush02 (114),nature/Trees/bush02 (114),41.5,-1.528288,-92.9,5.132615,3.331188,4.452489,,,
bush02 (51),nature/Trees/bush02 (51),70.8,-1.528288,26.4,5.132615,3.331188,4.452489,,,
bush02 (127),nature/Trees/bush02 (127),42.83714,-1.528288,37.96687,5.13718,3.331188,4.47787,,,
tree02 (106),nature/Trees/tree02 (106),54.11638,-0.658287,38.70081,4.448686,4.871672,3.659972,,,
tree02 (46),nature/Trees/tree02 (46),49.14236,-0.738287,-2.239857,45.71028,39.04447,44.84314,,,
tree02 (84),nature/Trees/tree02 (84),51.1,-0.658287,-118.5,4.922063,4.871672,4.259341,,,
bush02 (71),nature/Trees/bush02 (71),90.2,-2.268286,-93.8,6.312241,4.211606,5.044979,,,
bush02 (101),nature/Trees/bush02 (101),23.8,-1.789488,-87.60001,3.132984,2.285094,3.532508,,,
bush02 (98),nature/Trees/bush02 (98),28.7,-1.789488,-126.3,3.132984,2.285094,3.532508,,,
bush02 (70),nature/Trees/bush02 (70),97.3,-1.528288,-104.6,4.864669,3.331188,5.132187,,,
bush02 (113),nature/Trees/bush02 (113),62.1,-1.528288,-115.9,4.992695,3.331188,3.990348,,,
bush02 (112),nature/Trees/bush02 (112),69.8,-1.528288,-121.6,4.864669,3.331188,5.132187,,,
bush02 (111),nature/Trees/bush02 (111),62.7,-2.268286,-110.8,6.312241,4.211606,5.044979,,,
bush02 (64),nature/Trees/bush02 (64),87.7,-2.268286,-119.1,6.489142,4.211606,5.629262,,,
bush02 (110),nature/Trees/bush02 (110),67.3,-2.268286,-113.7,6.312241,4.211606,5.044979,,,
bush02 (122),nature/Trees/bush02 (122),71.0607,-2.658287,11.09755,3.677709,4.146969,5.547157,,,
bush02 (20),nature/Trees/bush02 (20),96.8,-3.828287,-16.3,6.312919,4.146969,6.215889,,,
bush02 (100),nature/Trees/bush02 (100),24.6,-1.789488,-101.6,3.132984,2.285094,3.532508,,,
bush02 (115),nature/Trees/bush02 (115),95.4528,-2.268286,33.65421,3.492716,3.331188,4.762733,,,
bush02 (107),nature/Trees/bush02 (107),43.3,-1.528288,-125.1,4.864669,3.331188,5.132187,,,
bush02 (65),nature/Trees/bush02 (65),67,-2.268286,-81.10001,6.489142,4.211606,5.629262,,,
bush02 (24),nature/Trees/bush02 (24),80.5,-2.268286,-65.5,6.488397,4.211606,5.625319,,,
bush02 (3),nature/Trees/bush02 (3),57.3,-1.528288,-27.3,3.963471,3.331188,4.981987,,,
bush02 (105),nature/Trees/bush02 (105),46.9,-1.728287,-114.9,4.792758,3.331188,5.147766,,,
bush02 (104),nature/Trees/bush02 (104),44.6,-2.168287,-118.6,4.792758,3.331188,5.147766,,,
bush02 (86),nature/Trees/bush02 (86),37.03,-1.789488,-49.92,3.384161,2.285094,3.50279,,,
